,AveExpr,Coef,t,P.value,P.value.adj,F,F.p.value,F.p.value.adj
FASN,18.78514603699,-0.517199734458593,-2.54105151653383,0.0207776810088748,0.0747338332039873,6.4569428096789,0.0207776810088748,0.0747338332039873
GOLGB1,15.1086065119549,0.170063538857185,0.737270719100448,0.470728450586719,0.649657276003108,0.543568113242892,0.470728450586719,0.649657276003108
STAU1,16.1565907469933,0.668409907253539,2.5336484336467,0.0210988056821861,0.0754992611436748,6.41937438532038,0.0210988056821861,0.0754992611436748
LAMA5,13.4132557804735,0.712767356070216,3.07868439890735,0.00663565001033487,0.0324908842127292,9.4782976280755,0.00663565001033487,0.0324908842127292
SAR1A,15.1584574164766,1.07394882915894,2.0803921241825,0.0525773451667077,0.147180546930746,4.32803139036058,0.0525773451667077,0.147180546930746
TSC2,12.7081329349749,-0.14931622620413,-0.585875138716964,0.565439890531939,0.732798363968241,0.343249678166622,0.565439890531939,0.732798363968241
AKAP12,17.7113742119712,1.29044329918501,5.03048638433345,9.44569541613578e-05,0.00127888060430933,25.3057932629642,9.44569541613578e-05,0.00127888060430933
PRPF6,16.144367654616,0.618250923365078,2.68362516493214,0.0154278886898126,0.0597501797630262,7.20184402585705,0.0154278886898126,0.0597501797630262
NUP93,16.6670188519997,0.441714257770972,1.70832755329608,0.105251996293303,0.236971146228635,2.91838302935057,0.105251996293303,0.236971146228635
SUPT16H,17.179221623062,0.439494333916368,2.71771087842149,0.0143591917732632,0.0569805576641962,7.38595241869051,0.0143591917732632,0.0569805576641962
ACAD9,16.467252676824,0.458385072144349,2.61796813066225,0.0177042841130106,0.0661065795430499,6.85375713316321,0.0177042841130106,0.0661065795430499
CCT7,19.1953438945498,-0.15257309898394,-0.750139270392192,0.463138028649992,0.642911250662784,0.56270892498453,0.463138028649992,0.642911250662784
MRPS27,16.1680765048656,0.310182270400706,1.54261631903994,0.140813642459794,0.292396075531642,2.37966510776834,0.140813642459794,0.292396075531642
WBP11,14.7941403049645,0.27408855774976,1.16537657342941,0.259506371606108,0.437708923883902,1.35810255789808,0.259506371606108,0.437708923883902
GGCX,13.6678487369468,-0.302136842066266,-1.11270979912317,0.28088546826428,0.462678469979671,1.23812309706472,0.28088546826428,0.462678469979671
DHX29,14.7046931727504,0.0824361481846658,0.434745255033921,0.669061076958275,0.812303557833182,0.189003436774509,0.669061076958275,0.812303557833182
ITGAV,15.3977330212846,-0.889143774075912,-3.74392964588184,0.00154840393548484,0.0108042263431317,14.0170091933129,0.00154840393548484,0.0108042263431317
DYNC1H1,17.4597239858597,-0.744984003921996,-4.61707916043738,0.000229187341105715,0.00257307855317787,21.3174199737452,0.000229187341105715,0.00257307855317787
HDAC3,11.7900404525633,0.189110720709223,0.508350251845227,0.617597705459814,0.772151685805113,0.258419978551106,0.617597705459814,0.772151685805113
TPBG,13.9518447682789,0.519129530990417,1.50088387758297,0.151329427351256,0.307334072783283,2.2526524139885,0.151329427351256,0.307334072783283
NAA40,13.5695730786904,0.339373834236461,0.693121514918361,0.497389623754155,0.674352284354274,0.480417434442724,0.497389623754155,0.674352284354274
NUMA1,16.0780176952758,0.409895776443808,1.82757834599261,0.0847159736854595,0.203680750656581,3.34004261074107,0.0847159736854595,0.203680750656581
NSFL1C,17.0234639409609,0.18791950371752,0.926852101538208,0.366610785330213,0.551350837901789,0.859054818125793,0.366610785330213,0.551350837901789
TOLLIP,15.0428140673898,-1.43082641894184,-3.45272305589908,0.00295934776206141,0.0178777526230457,11.9212965007371,0.00295934776206141,0.0178777526230457
HSP90B1,19.676475091136,-0.0768853309233393,-0.327275822576977,0.747341806261541,0.870052824163629,0.107109464043437,0.747341806261541,0.870052824163629
LRBA,14.3660202227072,-0.635844174183836,-1.65163741003983,0.11655523749049,0.255175270158847,2.72790613424306,0.11655523749049,0.255175270158847
MAP1B,14.0321194631935,-3.08123306046411,-5.63015848650749,2.75899530010167e-05,0.000532198475648955,31.6986845831923,2.75899530010167e-05,0.000532198475648955
TPP1,16.0076050345997,-2.54253244558948,-6.62987622133958,3.79995730334681e-06,0.000138573625456355,43.9552587102839,3.79995730334681e-06,0.000138573625456355
NIP7,15.4010025616951,0.523106150730289,0.860744222239106,0.401094661524639,0.583028492574075,0.740880616118004,0.401094661524639,0.583028492574075
CNOT7,13.1944732005155,0.996849379162159,2.96900012660257,0.00845079110872884,0.0390204735482526,8.81496175176611,0.00845079110872884,0.0390204735482526
CYB5R1,14.5463180428553,-0.74102399257267,-1.32832254887881,0.201247053913726,0.370597228659408,1.7644407938599,0.201247053913726,0.370597228659408
DDX27,16.1952921456299,0.983634512950671,4.69658867307546,0.000193015122059757,0.00225832213070386,22.0579451640608,0.000193015122059758,0.00225832213070387
AHNAK2,17.1591922097202,-2.28486368210102,-3.82007893201843,0.0013229594707673,0.00964891316197581,14.593003046851,0.0013229594707673,0.00964891316197581
FDXR,14.9167416230583,1.95514575833578,6.53961999766762,4.40492048865163e-06,0.000151772294905542,42.7666297138942,4.40492048865163e-06,0.000151772294905542
FEM1B,12.0385412914384,0.64576246566714,1.3909189562207,0.181798022581337,0.347328076794019,1.93465554277408,0.181798022581337,0.347328076794019
MYH9,19.9555018849162,0.550029702606906,2.91585893163872,0.00942189799989271,0.0421790344152903,8.50223330921731,0.00942189799989271,0.0421790344152903
SEC23IP,15.6516833745487,-0.294546427176604,-1.08175234984941,0.294044846954938,0.477428682283676,1.17018814640472,0.294044846954938,0.477428682283676
HOOK3,13.0137643054654,-0.0659476169623456,-0.299586214688051,0.768022000072075,0.88329602034072,0.0897519000311149,0.768022000072075,0.88329602034072
NPLOC4,16.3326068393071,-0.361285199776535,-1.70310418621285,0.106242485968195,0.238590411629716,2.90056386909573,0.106242485968195,0.238590411629716
SH3KBP1,14.7576550773006,-1.28126716496411,-3.38540839645897,0.00342825590627159,0.0199186716944319,11.4609900108149,0.00342825590627159,0.0199186716944319
GPN1,13.08213576716,0.364286322165476,1.53149767383683,0.143524291757006,0.295993519888881,2.34548512496762,0.143524291757006,0.295993519888881
KNSTRN,13.032029594151,-0.691598289921796,-1.21741224251047,0.239715208517419,0.415402056568841,1.48209256821437,0.239715208517419,0.415402056568841
MCM3AP,12.477753846945,-0.292130747667786,-1.3925458899695,0.181199953779714,0.34658306626472,1.93918405567095,0.181199953779714,0.34658306626472
CFL1,21.3747749384562,-0.319813364627414,-1.10163007283782,0.28564146342113,0.468812336153734,1.21358881738066,0.28564146342113,0.468812336153734
DHX33,13.8956445664335,0.91791399636428,3.13564303462507,0.00587202569950135,0.029498577610814,9.8322572405927,0.00587202569950135,0.029498577610814
VARS1,17.0081219242828,-1.18500081632999,-5.70319264883064,2.3175390350891e-05,0.000470667683711591,32.5264063896759,2.3175390350891e-05,0.000470667683711591
VPS13C,13.9584131620271,-0.623587253617217,-1.80477394477696,0.088461386047334,0.210453849853562,3.25720899174577,0.088461386047334,0.210453849853562
NSMCE2,12.5660191522478,-0.199510595055395,-1.1695049566641,0.257883669358511,0.436321408276515,1.36774184366189,0.257883669358511,0.436321408276515
STK24,15.1322630860045,1.54873752818606,5.47710574456839,3.69369774836024e-05,0.000666199059595949,29.998687337184,3.69369774836024e-05,0.000666199059595948
TWF2,15.7240070291109,0.652930553094432,2.1095423555727,0.0496649280124731,0.141221388930174,4.45016894995521,0.0496649280124731,0.141221388930174
UBR1,13.5607187136224,-0.656091901546871,-1.85765313949937,0.0802399672607861,0.19606254121981,3.45087518669188,0.0802399672607861,0.19606254121981
ACTN4,20.9386176154822,-1.31936996126142,-6.7105151745859,3.14800499091564e-06,0.000122870569801676,45.0310139083476,3.14800499091564e-06,0.000122870569801676
KIF14,13.3739824513288,-0.562383309174905,-2.06444535909946,0.0541229725368208,0.150304819785412,4.26193464070728,0.0541229725368208,0.150304819785412
EIF2B3,15.4208050456226,-0.582282985162115,-2.33410549762507,0.0317385920535817,0.101492733073451,5.44804847404357,0.0317385920535817,0.101492733073451
SON,15.7197455016373,1.04244878251986,4.24981002755107,0.000509757001828707,0.00484103082738173,18.0608852702737,0.000509757001828707,0.00484103082738173
MSH3,14.7684800182027,-0.393757294357998,-0.545980877602184,0.59201721204674,0.755676543532324,0.298095118707251,0.59201721204674,0.755676543532324
UTP20,15.1131030331076,-1.07626566655646,-2.13568032419674,0.0472101282508286,0.136279875312724,4.56113044716109,0.0472101282508286,0.136279875312724
IPO4,15.9092197050794,-0.14592212755581,-0.520933220854407,0.608950792597884,0.766460742465817,0.271371420589746,0.608950792597884,0.766460742465817
MTFR1L,12.0931499635847,-1.03238152325306,-4.81707691045747,0.000148933428486237,0.00182818527940354,23.2042299612625,0.000148933428486237,0.00182818527940354
PSMD3,17.4855926792849,0.657379509586132,3.92042488909612,0.00105017944326544,0.00817242445257655,15.3697313110444,0.00105017944326544,0.00817242445257655
CNDP2,16.5566789074168,-2.47200103287168,-8.13299090167153,2.48434356375691e-07,2.29847786009806e-05,66.1455410066718,2.48434356375691e-07,2.29847786009806e-05
SPTBN1,17.4000051557431,-0.099876675276473,-0.531523925347208,0.601738453590856,0.762436042135409,0.282517683216504,0.601738453590856,0.762436042135409
DHX9,18.4503916553793,0.387587922741723,2.03707450789738,0.0570597620495051,0.155436516466373,4.14967255072535,0.0570597620495052,0.155436516466373
VCP,19.0386510582637,-0.215175056837012,-1.35363773714537,0.193078678172328,0.361294698201768,1.83233512342405,0.193078678172328,0.361294698201768
ITSN1,13.380341488367,-0.688012316884356,-1.69612606936347,0.10769460862557,0.241058362317807,2.87684364317438,0.10769460862557,0.241058362317807
CAPN1,18.0418871329155,0.400790477921994,1.18673903578549,0.251295350169161,0.42922104938295,1.40834953905706,0.251295350169161,0.42922104938295
EIF5,17.3888236417028,-0.176327644692702,-0.734290338631256,0.472497006452198,0.651524747922479,0.539182301407204,0.472497006452198,0.651524747922479
DPAGT1,14.655933077478,-1.84353570400919,-3.16296279208856,0.0055623252255015,0.0284499489723871,10.0043336241366,0.0055623252255015,0.0284499489723871
SART3,15.2178192742867,-1.17128735243135,-3.72061736118969,0.00164169041305297,0.0112973626771524,13.8429935483861,0.00164169041305296,0.0112973626771523
SPDL1,14.1663763400918,-3.65230771980227,-5.77373699773829,2.05875714849649e-05,0.000438669918412773,33.336038919052,2.05875714849649e-05,0.000438669918412773
PMPCA,15.4729065026046,1.01958314041976,4.85144759690052,0.000138349130305539,0.00172798063751618,23.5365437854719,0.000138349130305539,0.00172798063751618
EIF2S1,18.3280478299375,0.0483587881022096,0.260581585235009,0.797456801136094,0.904242891165666,0.0679027625635904,0.797456801136094,0.904242891165666
FERMT2,14.7348284939844,-1.06240812701826,-4.47619824886203,0.000311098669328333,0.0032515668451137,20.0363507631155,0.000311098669328333,0.0032515668451137
CTBP2,15.3074493827878,-0.284675203550277,-0.820790704067666,0.422878370519852,0.603472408283098,0.673697379883894,0.422878370519852,0.603472408283098
NLN,14.797201454331,-0.776884562284861,-2.18792751918052,0.0426033065496682,0.12754520099304,4.78702682918744,0.0426033065496682,0.12754520099304
AP1M1,15.4744337413321,-0.959356006729333,-5.69202108919453,2.37118471026381e-05,0.000475760594878634,32.3991040798353,2.37118471026381e-05,0.000475760594878634
AP3B1,15.8640380735199,0.207144902214987,1.01950219313605,0.321853317060995,0.506383060808176,1.03938472180922,0.321853317060995,0.506383060808176
