"Genes","BxPC3_B1","PanC1_A1","BxPC3_B2","PanC1_D1","PanC1_B2","PanC1_C2","BxPC3_C2","BxPC3_A2","BxPC3_A1","PanC1_D2","PanC1_B1","PanC1_C1","PanC1_A2","BxPC3_D1","BxPC3_D2","BxPC3_C1"
"FASN",18.0736476556942,18.7858737537411,18.5058682071619,18.5258736568168,19.5754789116875,19.4089040939495,18.4887460772868,18.8987073610093,18.7268585991367,18.4707117746401,19.2728486590343,18.8748523021095,19.4354240817757,18.325357372168,18.3473913307992,18.8457927548298
"GOLGB1",15.3999723075536,14.8372899596818,15.1790290058223,15.2689577087956,14.5843637870724,14.974373072845,16.0701841040159,14.8676479771997,14.6652182230693,15.3048043440065,14.4526190039609,15.1988116038314,15.5673784600166,15.3396277278609,15.1655146191844,14.8619122863617
"STAU1",16.446380547151,15.9583767619477,17.0737243934281,16.1794010009224,15.8969179193475,15.9602829977978,17.2543707789428,15.4297762297146,16.8680348197029,15.6207774813158,15.6558833227773,15.8705430143216,15.4369038485022,15.927760024204,17.0725701864145,15.8537486254027
"LAMA5",14.2266267576966,13.0454094064253,14.1791765953986,13.6365323269585,12.4096796595607,13.1471290492361,13.3408815991661,13.7447514988024,14.1470715181755,12.9277677335003,12.6370898899312,13.5159670228467,13.1354017310485,13.2802970627589,13.29560056772,13.9427100683509
"SAR1A",16.7684140277871,13.641806732065,17.055004421737,15.1693070347354,15.6763490424021,14.7233202746514,16.6854856025162,16.0885421187147,15.2490052793519,15.1214315310526,13.4666651699161,15.6398078306495,13.5331763997047,13.2601509521616,14.8307632864337,15.6260889597463
"TSC2",13.2387866640333,12.8005292514509,12.2934483863074,12.5291738568953,12.7221031842214,12.14363181416,12.4430487663268,12.6245580755053,12.5730499274257,11.9498631102188,13.2070702157053,13.0230802058131,13.8868767461507,12.7780664360617,12.4670032909398,12.6498370283824
"AKAP12",18.4925950058659,17.1615722174914,18.7870193898901,17.3263920572647,16.9567088947747,17.1828117602754,18.2112229630397,18.0835773425854,19.7006483327897,17.1683227303208,16.4585478468864,17.1730447730607,17.1018202189554,17.5376834027324,17.9224549294177,18.1175655261885
"PRPF6",16.0768964519917,15.7812363777666,16.0036057008479,15.9667783891498,15.5621772462057,15.7430640858827,15.8726062638822,16.1645433087068,17.6578418787135,16.0398566365276,15.9349633461274,15.849682679765,15.8041787820427,16.5824905536321,16.5087481629773,16.7612126096367
"NUP93",17.0011519121937,16.6507518727835,17.2888502274026,16.8640715049698,16.4648993251689,15.4840325798579,16.7860720540619,16.0026874159877,17.3815204666794,16.8646826115536,16.8006887676817,15.7792180165311,16.6609491063669,17.1829417353454,17.0687020252489,16.3910820101617
"SUPT16H",17.365170224737,17.1468636697361,17.4488768288719,17.1483970878832,17.1098043691846,16.9845481822301,17.372884272962,16.9324313299263,17.6669611795755,16.9240041764065,16.9916745959639,16.5645997803241,16.8059037871021,17.5464858710941,17.1744408566959,17.6844997562991
